编号,检索式
44,"(""self-esteem"" AND ""language-based assessment"" AND ""LLM"")"
45,"(""self concept"" AND ""text emotion recognition"" AND ""NLP"")"
46,"(""self-esteem"" AND ""linguistic markers"" AND ""machine learning"")"
47,"(""self concept"" AND ""affective text analysis"" AND ""transformers"")"
48,"(""self-esteem"" AND ""verbal behavior"" AND ""natural language processing"")"
49,"(""self concept"" AND ""psychological text mining"" AND ""AI"")"
50,"(""self-esteem"" AND ""language features"" AND ""multimodal analysis"")"
51,"(""self-esteem"" AND ""facial behavior analysis"" AND ""deep learning"")"
52,"(""self concept"" AND ""facial expression recognition"" AND ""machine learning"")"
53,"(""self-esteem"" AND ""emotion recognition"" AND ""multimodal fusion"")"
54,"(""self-esteem"" AND ""micro-expression"" AND ""AI"")"
55,"(""self concept"" AND ""physiological sensing"" AND ""deep learning"")"
56,"(""self-esteem"" AND ""speech emotion recognition"" AND ""machine learning"")"
57,"(""self concept"" AND ""behavioral signal processing"" AND ""neural networks"")"
58,"(""self-esteem"" AND ""multimodal psychological assessment"")"
59,"(""self concept"" AND ""sensor-based assessment"" AND ""AI"")"
60,"(""self-esteem"" AND ""emotion dynamics"" AND ""multimodal analysis"")"
61,"(""self-esteem"" AND ""mental wellbeing"" AND ""machine learning"")"
62,"(""self concept"" AND ""cognitive patterns"" AND ""deep learning"")"
63,"(""self-esteem"" AND ""cognitive computing"" AND ""AI"")"
64,"(""self concept"" AND ""mental health modeling"" AND ""neural networks"")"
65,"(""self-esteem"" AND ""psychological risk prediction"" AND ""machine learning"")"
66,"(""self concept"" AND ""emotion regulation"" AND ""deep learning"")"
67,"(""self-esteem"" AND ""stress monitoring"" AND ""AI"")"
68,"(""self concept"" AND ""behavioral dynamics"" AND ""machine learning"")"
69,"(""self-esteem"" AND ""psychological symptoms"" AND ""deep learning"")"
70,"(""self concept"" AND ""cognitive load"" AND ""neural networks"")"
71,"(""self-esteem"" AND ""transformer models"" AND ""psychological assessment"")"
72,"(""self concept"" AND ""large language models"" AND ""behavior prediction"")"
73,"(""self-esteem"" AND ""representation learning"" AND ""deep learning"")"
74,"(""self concept"" AND ""graph neural networks"" AND ""psychological"")"
75,"(""self-esteem"" AND ""foundation models"" AND ""mental health"")"
76,"(""self concept"" AND ""self-supervised learning"" AND ""cognitive analysis"")"
77,"(""self-esteem"" AND ""zero-shot prediction"" AND ""LLM"")"
78,"(""self concept"" AND ""multimodal transformer"" AND ""emotion analysis"")"
79,"(""self-esteem"" AND ""AI-based psychological profiling"")"
80,"(""self concept"" AND ""behavior prediction"" AND ""deep neural networks"")"


